阿	tz_· 阝可 ·a
䗇	cnpm· 虫勹米 ·qu
䝣	mkne2· 豸氵匚コ木 ·qu
䞤	pgj3· 走句 ·qu
䟊	pzjs2· 走虍豕 ·qu
䠐	pqmq2· ⻊目犬 ·qu
䠓	phyy2· ⻊丷酉 ·qu
䢗	yuc5· 曲辶 ·qu
䪨	xnid2· 音勹丶 ·qu
䵶	gdm3· 句黽 ·qu
䶚	lcc2· 齒虫 ·qu
㒰	jug3· 入工 ·quan
㟨	vvle2· 山山而 ·quan
㟫	vuks2· 山白水 ·quan
㩲	uldu2· 扌艹口口隹 ·quan
䀬	qjnw2· 目人王 ·quan
䄐	smfv· 屮凵示巳 ·quan
䅚	xhhz· 禾丷夫⺋ ·quan
䊎	phhz2· 米丷夫⺋ ·quan
䌯	ildu· 糹艹口口隹 ·quan
䑏	vldu2· 月艹口口隹 ·quan
䟒	pldu· 走艹口口隹 ·quan
䠰	pldu2· ⻊艹口口隹 ·quan
㕁	bnkz· 㐅𠂇厶卩 ·que
㩁	uwui2· 扌宀隹 ·que
㰌	etui· 木⻗隹 ·que
㱋	tueq· ⻗隹欠 ·que
㱿	gvr_· 士月殳 ·que
㴶	kwu_· 氵冖隹 ·que
㹤	mgks3· 犭土厶 ·que
㹱	mpu2· 犭足 ·que
㾡	agkz· 疒土厶卩 ·que
䀇	caa_· 古缶皿 ·que
䇎	ilor· 立龷日 ·que
䍳	grrr2· ⺶又又又又 ·que
䢧	zjeu2· 羽人彡辶 ·que
䦬	aapm2· 門丰刀大 ·que
䧿	loui2· 龷日隹 ·que
䱜	wlor4· 魚龷日 ·que
䲵	ytx_· 𡭔丿鳥 ·que
㪊	btdh· 丿口攴 ·qun
㿏	abtg· 疒丿口羊 ·qun
䆽	ezjs2· 穴虍豕 ·qun
䭽	nqn_· 馬牛 ·qun
染	kke_· 氵九木 ·ran
然	vm_· 犬灬 ·ran
燃	cvmc· 火犬灬 ·ran
冉	mgt_· 冂土 ·ran
髯	pem_· 镸彡冂土 ·ran
苒	lmg_· 艹冂土 ·ran
蚺	cmg_· 虫冂土 ·ran
蚦	cmme· 虫冂二 ·ran
舑	amg_· 舌冂土 ·ran
衻	tmme· 衤冂二 ·ran
肰	vmq2· 月犬 ·ran
袇	tmz_· 衤⺆亠 ·ran
袡	tmg_· 衤冂土 ·ran
繎	ivmc· 糹犬灬 ·ran
珃	nmgt· 王冂土 ·ran
蹨	pvmc· ⻊犬灬 ·ran
熯	cld_· 火廿口夫 ·ran
橪	evmc· 木犬灬 ·ran
柟	emgt· 木冂土 ·ran
媣	bkk_· 女氵九木 ·ran
姌	bmgt· 女冂土 ·ran
髥	pemm· 镸彡冂二 ·ran
嘫	dvmc· 口犬灬 ·ran
呥	dmgt· 口冂土 ·ran
冄	mme2· 冂二 ·ran
让	syf_· 讠⺊一 ·rang
嚷	dtd_· 口衣口口一 ·rang
壤	gtd_· 土衣口口一 ·rang
瓤	tddy· 衣口口一瓜 ·rang
攘	utdf· 扌衣口口一 ·rang
穰	xtd_· 禾衣口口一 ·rang
禳	ftd_· 礻衣口口一 ·rang
镶	ztd_· 钅衣口口一 ·rang
蘘	ltdf2· 艹衣口口一 ·rang
蠰	ctdf2· 虫衣口口一 ·rang
纕	itdf4· 糹衣口口一 ·rang
穣	xthf2· 禾衣八一 ·rang
譲	sthf2· 言衣八一 ·rang
讓	std_· 言衣口口一 ·rang
獽	mtd_· 犭衣口口一 ·rang
爙	ctdf· 火衣口口一 ·rang
躟	ptdf· ⻊衣口口一 ·rang
瀼	ktd_· 氵衣口口一 ·rang
鑲	ztdf2· 金衣口口一 ·rang
懹	htd_· 忄衣口口一 ·rang
孃	btdf· 女衣口口一 ·rang
壌	gthf· 土衣八一 ·rang
鬤	petf2· 镸彡衣口口一 ·rang
勷	tdds· 衣口口一力 ·rang
儴	jtdf· 亻衣口口一 ·rang
绕	ipf_· 纟一儿 ·rao
饶	qpf_· 饣一儿 ·rao
扰	uoy_· 扌尤 ·rao
桡	epf_· 木一儿 ·rao
娆	bpf_· 女一儿 ·rao
荛	lpf_· 艹一儿 ·rao
蕘	lggp· 艹土土土一儿 ·rao
蟯	cggp2· 虫土土土一儿 ·rao
襓	tggp· 衤土土土一儿 ·rao
繞	iggp· 糹土土土一儿 ·rao
犪	qho_· 牜䒑自止巳八夊 ·rao
遶	gggu2· 土土土一儿辶 ·rao
橈	eggp· 木土土土一儿 ·rao
擾	uwhh· 扌心夂 ·rao
隢	tggp2· 阝土土土一儿 ·rao
嬈	bggp· 女土土土一儿 ·rao
饒	qggp· 飠土土土一儿 ·rao
热	uk_· 扌九丶灬 ·re
惹	lndh· 艹𠂇口心 ·re
若	lnd_· 艹𠂇口 ·re
喏	dln_· 口艹𠂇口 ·re
熱	ghgc· 土八土九丶灬 ·re
人	j_· 人 ·ren
任	jt_· 亻㇒士 ·ren
仁	jme_· 亻二 ·ren
认	sj_· 讠人 ·ren
忍	pih_· 刀丶心 ·ren
刃	pid_· 刀丶 ·ren
韧	gpi_· 韦刀丶 ·ren
仞	jpid· 亻刀丶 ·ren
轫	ypi_· 刀丶 ·ren
稔	xja_· 禾亽心 ·ren
壬	tgs_· ㇒士 ·ren
纫	ipi_· 纟刀丶 ·ren
衽	ttgs· 衤㇒士 ·ren
妊	btg_· 女㇒士 ·ren
饪	qtg_· 饣㇒士 ·ren
荏	ljt_· 艹亻㇒士 ·ren
葚	lzha· 艹㇗ ·ren
纴	itgs· 纟㇒士 ·ren
菍	ljah· 艹亽心 ·ren
荵	lpih· 艹刀丶心 ·ren
芢	ljme· 艹亻二 ·ren
腍	vjah· 月亽心 ·ren
肕	vpid3· 月刀丶 ·ren
袵	tjt_· 衤亻㇒士 ·ren
絍	ijt_· 糹亻㇒士 ·ren
紝	itgs2· 糹㇒士 ·ren
紉	ipid2· 糹刀丶 ·ren
訒	spid2· 言刀丶 ·ren
認	spih· 言刀丶心 ·ren
秹	xjt_· 禾亻㇒士 ·ren
秂	xjr3· 禾人 ·ren
祍	ftg_· 礻㇒士 ·ren
讱	spi_· 讠刀丶 ·ren
牣	qpi_· 牜刀丶 ·ren
軔	ypid2· 車刀丶 ·ren
涊	kpih· 氵刀丶心 ·ren
釰	zpid· 金刀丶 ·ren
鈓	ztgs· 金㇒士 ·ren
棯	ejah· 木亽心 ·ren
梕	epih· 木刀丶心 ·ren
栣	ejtg· 木亻㇒士 ·ren
栠	jtge· 亻㇒士木 ·ren
銋	zjt_· 金亻㇒士 ·ren
杒	epid· 木刀丶 ·ren
朲	ejr_· 木人 ·ren
扨	upi_· 扌刀丶 ·ren
忎	lhx3· 千心 ·ren
忈	mhx_· 二心 ·ren
靭	tpi_· 革刀丶 ·ren
靱	tpid2· 革刀丶 ·ren
韌	gpid2· 韋刀丶 ·ren
屻	vpi_· 山刀丶 ·ren
飪	qtgs2· 飠㇒士 ·ren
餁	qjt_· 飠亻㇒士 ·ren
姙	bjt_· 女亻㇒士 ·ren
魜	wjr_· 魚人 ·ren
鵀	jtgx· 亻㇒士鳥 ·ren
刄	pid2· 刀丶 ·ren
仭	jpid2· 亻刀丶 ·ren
仍	jv_· 亻乃 ·reng
扔	uvn_· 扌乃 ·reng
芿	ljvn· 艹亻乃 ·reng
礽	fvn2· 礻乃 ·reng
辸	vuc5· 乃辶 ·reng
陾	tlmd· 阝而大 ·reng
日	or_· 日 ·ri
氜	vor2· 气日 ·ri
釰	zpid· 金刀丶 ·ri
鈤	zor_· 金日 ·ri
馹	nor3· 馬日 ·ri
驲	nor2· 马日 ·ri
囸	rfsi· 囗一止 ·ri
荣	lwe_· 艹冖木 ·rong
容	whg_· 宀谷 ·rong
融	ncc_· 鬲虫 ·rong
蓉	lwh_· 艹宀谷 ·rong
绒	ipn_· 纟戈𠂇 ·rong
溶	kwhg· 氵宀谷 ·rong
榕	ewh_· 木宀谷 ·rong
戎	pns_· 戈𠂇 ·rong
熔	cwh_· 火宀谷 ·rong
嵘	vlwe· 山艹冖木 ·rong
茸	lqe_· 艹耳 ·rong
冗	woj_· 冖几 ·rong
狨	mpn_· 犭戈𠂇 ·rong
蝾	clwe· 虫艹冖木 ·rong
肜	ves_· 月彡 ·rong
镕	zwh_· 钅宀谷 ·rong
瑢	nwhg· 王宀谷 ·rong
茙	lpn_· 艹戈𠂇 ·rong
螎	cng_· 虫鬲 ·rong
蠑	ccce4· 虫火火冖木 ·rong
羢	gpn_· ⺶戈𠂇 ·rong
褣	twh_· 衤宀谷 ·rong
縙	ilqe· 糹艹耳 ·rong
絨	ipns2· 糹戈𠂇 ·rong
穁	xlqe· 禾艹耳 ·rong
爃	ccce3· 火火火冖木 ·rong
烿	cmze· 火⺆亠彡 ·rong
軵	yjkc· 車亻寸 ·rong
瀜	kncc· 氵鬲虫 ·rong
氄	itmv· 予丿冂八口毛 ·rong
毧	vpn_· 毛戈𠂇 ·rong
榵	elqe· 木艹耳 ·rong
榮	ccw_· 火火冖木 ·rong
曧	onc_· 日鬲虫 ·rong
鎔	zwhg2· 金宀谷 ·rong
搑	ulqe· 扌艹耳 ·rong
搈	uwhg· 扌宀谷 ·rong
嶸	vcce· 山火火冖木 ·rong
嵤	ccwv· 火火冖山 ·rong
峵	vwn_· 山宀𠂇厶 ·rong
宂	woj2· 宀几 ·rong
嬫	bcce· 女火火冖木 ·rong
嫆	bwh_· 女宀谷 ·rong
媶	blqe· 女艹耳 ·rong
駥	npns· 馬戈𠂇 ·rong
坈	gwoj2· 土冖几 ·rong
髶	peqe· 镸彡耳 ·rong
傛	jwhg· 亻宀谷 ·rong
傇	jlqe· 亻艹耳 ·rong
肉	mjj_· 冂人人 ·rou
柔	ite_· 予丿木 ·rou
揉	uit_· 扌予丿木 ·rou
糅	pite· 米予丿木 ·rou
鞣	tite· 革予丿木 ·rou
蹂	pit_· ⻊予丿木 ·rou
葇	lite· 艹予丿木 ·rou
蝚	cite2· 虫予丿木 ·rou
腬	vit_· 月予丿木 ·rou
粈	pag_· 米ヿ土 ·rou
禸	vrr_· 禸 ·rou
瓇	nwhh2· 王心夂 ·rou
瑈	nit_· 王予丿木 ·rou
煣	cit_· 火予丿木 ·rou
輮	yite2· 車予丿木 ·rou
渘	kite· 氵予丿木 ·rou
楺	eite2· 木予丿木 ·rou
鍒	zite· 金予丿木 ·rou
韖	git_· 韋予丿木 ·rou
宍	wal_· 宀六 ·rou
媃	bite2· 女予丿木 ·rou
騥	nite2· 馬予丿木 ·rou
髳	peit· 镸彡予丿 ·rou
鰇	wit_· 魚予丿木 ·rou
厹	kks3· 九厶 ·rou
鶔	itex· 予丿木鳥 ·rou
如	b_· 女口 ·ru
入	ju_· 入 ·ru
汝	kbn_· 氵女 ·ru
儒	jtl_· 亻⻗而 ·ru
茹	lbd_· 艹女口 ·ru
辱	fkc_· 辰寸 ·ru
乳	yha_· 爫子乚 ·ru
濡	ktle· 氵⻗而 ·ru
孺	htle· 子⻗而 ·ru
褥	tfk_· 衤辰寸 ·ru
襦	ttle· 衤⻗而 ·ru
铷	zbdk· 钅女口 ·ru
缛	ifk_· 纟辰寸 ·ru
蠕	ctl_· 虫⻗而 ·ru
嚅	dtle· 口⻗而 ·ru
溽	kfk_· 氵辰寸 ·ru
薷	ltle· 艹⻗而 ·ru
颥	tlw_· ⻗而页 ·ru
蓐	lfk_· 艹辰寸 ·ru
洳	kbd_· 氵女口 ·ru
臑	vtle· 月⻗而 ·ru
蕠	lbdi· 艹女口糸 ·ru
蒘	lbdu· 艹女口手 ·ru
肗	vbn4· 月女 ·ru
袽	tbdk· 衤女口 ·ru
繻	itle2· 糹⻗而 ·ru
縟	ifkc2· 糹辰寸 ·ru
筎	rbd_· ⺮女口 ·ru
獳	mtle· 犭⻗而 ·ru
燸	ctle2· 火⻗而 ·ru
渪	ktdv· 氵丿口⽱ ·ru
邚	bte2· 女阝 ·ru
鄏	fkt_· 辰寸阝 ·ru
醹	ytle2· 酉⻗而 ·ru
桇	bde_· 女口木 ·ru
銣	zbdk2· 金女口 ·ru
曘	otle· 日⻗而 ·ru
擩	utle· 扌⻗而 ·ru
挐	bdus· 女口手 ·ru
鑐	ztle· 金⻗而 ·ru
帤	bdr_· 女口巾 ·ru
顬	tlwy2· ⻗而頁 ·ru
嬬	btl_· 女⻗而 ·ru
媷	bfk_· 女辰寸 ·ru
嗕	dfk_· 口辰寸 ·ru
吺	drs_· 口殳 ·ru
鱬	wtle· 魚⻗而 ·ru
鴑	brx_· 女又鳥 ·ru
鴽	bdx_· 女口鳥 ·ru
偄	jlm_· 亻而大 ·ru
侞	jbd_· 亻女口 ·ru
软	yeq_· 欠 ·ruan
阮	tmpe· 阝二儿 ·ruan
朊	vmp_· 月二儿 ·ruan
蝡	clmd· 虫而大 ·ruan
腝	vlm_· 月而大 ·ruan
耎	lmd2· 而大 ·ruan
緛	ilm_· 糹而大 ·ruan
礝	mtle2· 石⻗而 ·ruan
碝	mlm_· 石而大 ·ruan
瓀	ntle· 王⻗而 ·ruan
瑌	nlmd· 王而大 ·ruan
燸	ctle2· 火⻗而 ·ruan
軟	yeq2· 車欠 ·ruan
輭	ylm_· 車而大 ·ruan
檽	etle· 木⻗而 ·ruan
撋	uanw· 扌門王 ·ruan
愞	hlm_· 忄而大 ·ruan
媆	blm_· 女而大 ·ruan
壖	gtle· 土⻗而 ·ruan
堧	glm_· 土而大 ·ruan
偄	jlm_· 亻而大 ·ruan
瑞	nvl_· 王山而 ·rui
锐	zhd_· 钅丷口儿 ·rui
睿	ghq_· 目 ·rui
芮	lmj_· 艹冂人 ·rui
蕊	lhhh· 艹心心心 ·rui
蕤	ljl_· 艹豕生 ·rui
蚋	cmj_· 虫冂人 ·rui
枘	emj_· 木冂人 ·rui
汭	kmj_· 氵冂人 ·rui
蕋	lsss2· 艹止止止 ·rui
蘂	lhhe· 艹心心心木 ·rui
蘃	lsse· 艹止止止木 ·rui
苼	lls3· 艹生 ·rui
蜹	clmj2· 虫艹冂人 ·rui
繠	hhhi2· 心心心糸 ·rui
緌	ixbn2· 糹禾女 ·rui
甤	jls_· 豕生 ·rui
橤	hhhe· 心心心木 ·rui
鈉	zmjr2· 金冂人 ·rui
桵	eybn· 木爫女 ·rui
銳	zhdp3· 金八口儿 ·rui
鋭	zhdp2· 金丷口儿 ·rui
惢	hhh_· 心心心 ·rui
婑	bxb_· 女禾女 ·rui
壡	ghqg· 目又土 ·rui
叡	ghqr· 目又 ·rui
润	kan_· 氵门王 ·run
闰	anw_· 门王 ·run
潤	kanw2· 氵門王 ·run
橍	ean_· 木門王 ·run
閏	anw2· 門王 ·run
閠	ani_· 門王丶 ·run
若	lnd_· 艹𠂇口 ·ruo
弱	bw_· 弓冫弓冫 ·ruo
箬	rln_· ⺮艹𠂇口 ·ruo
偌	jln_· 亻艹𠂇口 ·ruo
蒻	lbw_· 艹弓冫弓冫 ·ruo
篛	rbww· ⺮弓冫弓冫 ·ruo
爇	lghc· 艹土八土九丶灬 ·ruo
焫	clmj· 火艹冂人 ·ruo
渃	kln_· 氵艹𠂇口 ·ruo
鄀	lndt· 艹𠂇口阝 ·ruo
楉	eln_· 木艹𠂇口 ·ruo
撋	uanw· 扌門王 ·ruo
捼	uxbn· 扌禾女 ·ruo
挼	uybn· 扌爫女 ·ruo
婼	bln_· 女艹𠂇口 ·ruo
鰙	wln_· 魚艹𠂇口 ·ruo
鰯	wbww· 魚弓冫弓冫 ·ruo
叒	rrry· 又又又 ·ruo
鶸	bwbx· 弓冫弓冫鳥 ·ruo
㒄	jvmc· 亻犬灬 ·ran
㚩	bmme· 女冂二 ·ran
㜣	bvmc· 女犬灬 ·ran
㯗	eaem· 木門木 ·ran
㲯	qrav· 臣皿毛 ·ran
㸐	ldhc· 廿口夫隹灬 ·ran
㹱	mpu2· 犭足 ·ran
㾆	amgt2· 疒冂土 ·ran
㿵	rlm_· 皮而大 ·ran
䇋	illx· 立夕夕 ·ran
䎃	mgz_· 冂土羽 ·ran
䑙	amme· 舌冂二 ·ran
䒣	lmme· 艹冂二 ·ran
䔳	lvmc· 艹犬灬 ·ran
䖄	lldc· 艹廿口夫隹灬 ·ran
䣸	jtgy· 亻㇒士酉 ·ran
䤡	zmgt· 金冂土 ·ran
䫇	emmw· 彡冂二頁 ·ran
䰯	avot2· 鬼匕矢龴疋 ·ran
䳿	vmcx· 犬灬鳥 ·ran
䶲	mgwg· 冂土龟 ·ran
㚂	gndt· 土十口冖口口一 ·rang
䉴	rtdf2· ⺮衣口口一 ·rang
䑋	vtdf2· 月衣口口一 ·rang
㑱	jite· 亻予丿木 ·rao
㹛	qfoh· 牜一自止巳八夊 ·rao
䫞	gcwy2· ⺷灬頁 ·rao
㻰	naab· 王丰丰彐 ·re
㠴	rpi_· 巾刀丶 ·ren
㣼	hpi_· 忄刀丶 ·ren
㤛	hjt_· 忄亻㇒士 ·ren
㲽	kpid· 氵刀丶 ·ren
㶵	jtgc· 亻㇒士灬 ·ren
㸾	qpih· 牜刀丶心 ·ren
䀔	qpid2· 目刀丶 ·ren
䀼	qfc_· 目辰 ·ren
䄒	fja_· 礻亽心 ·ren
䇮	rjt_· ⺮亻㇒士 ·ren
䋕	jtgi· 亻㇒士糸 ·ren
䌾	inmg2· 纟十冂 ·ren
䏕	vtgs· 月㇒士 ·ren
䏰	vpih· 月刀丶心 ·ren
䚾	stgs· 言㇒士 ·ren
䛘	sjt_· 言亻㇒士 ·ren
䭃	qjah· 飠亽心 ·ren
䴦	xsy2· 鹿言 ·ren
㭁	evn_· 木乃 ·reng
㺱	jvni· 亻乃王丶 ·reng
䄧	xvn2· 禾乃 ·reng
䚮	svn_· 言乃 ·reng
䒤	lor2· 艹日 ·ri
㘇	dcce2· 口火火冖木 ·rong
㝐	eks2· 穴厶 ·rong
㣑	xbte2· 广肀彡 ·rong
㭜	epns· 木戈𠂇 ·rong
㲓	vnid2· 毛戊丶 ·rong
㲝	vui3· 毛隹 ·rong
㲨	lqvm· 艹耳毛 ·rong
㺎	mxbt· 犭广肀 ·rong
㼸	whrw· 宀谷瓦 ·rong
䄧	xvn2· 禾乃 ·rong
䇀	etqe· 穴革耳 ·rong
䇯	rqe2· ⺮耳 ·rong
䈶	rwh_· ⺮宀谷 ·rong
䋴	iite4· 糹予丿木 ·rong
䘬	tpn_· 衤戈𠂇 ·rong
䠜	plqe· ⻊艹耳 ·rong
䡆	yhk_· 車八厶 ·rong
䡥	ywhg· 車宀谷 ·rong
䢇	wofk3· 宀几辰寸 ·rong
䤊	ylq_· 酉艹耳 ·rong
䩸	tlqe· 革艹耳 ·rong
㖻	dite· 口予丿木 ·rou
㮟	emem3· 木石木 ·rou
㽥	qite· 田予丿木 ·rou
䄾	xpn_· 禾戈𠂇 ·rou
䋴	iite4· 糹予丿木 ·rou
䐓	vwy4· 月頁 ·rou
䢇	wofk3· 宀几辰寸 ·rou
䥆	zrz_· 亠非金 ·rou
䧷	hwu_· 夂⺀隹 ·rou
䰆	peie· 镸彡予丿木 ·rou
㦺	fkp_· 辰寸戈 ·ru
㨌	gwu_· 士冖手殳 ·ru
㨎	ulm_· 扌而大 ·ru
㱶	ghes· 歹彡 ·ru
㹘	qtle· 牜⻗而 ·ru
㼋	cyg2· 古瓜 ·ru
㾒	abd_· 疒女口 ·ru
䋈	bris· 女又糸 ·ru
䋴	iite4· 糹予丿木 ·ru
䐓	vwy4· 月頁 ·ru
䘫	bdt_· 女口衣 ·ru
䞕	gctl· 土⻗而 ·ru
䤉	yhta· 酉心丿皿 ·ru
䫱	llwy2· 而而頁 ·ru
䰭	llag· 而而鬼 ·ru
䰰	tlag· ⻗而鬼 ·ru
㓴	lmpd· 而大刂 ·ruan
㜛	byeq· 女車欠 ·ruan
㨎	ulm_· 扌而大 ·ruan
㮕	elmd· 木而大 ·ruan
㼱	avwr· 匕冖八瓦 ·ruan
㽭	qtle2· 田⻗而 ·ruan
䆓	ekpe3· 穴厶儿 ·ruan
䎡	lch3· 而火 ·ruan
䓴	llm_· 艹而大 ·ruan
䙃	tnuv3· 衤𠂇工⺝ ·ruan
䙇	tlmd2· 衤而大 ·ruan
䞂	olmd2· 貝而大 ·ruan
䪀	twkh· 革宀㠯心 ·ruan
䪭	xxy3· 音音 ·ruan
㓹	xccp· 厂火火刂 ·rui
㕙	khhw· 厶八夊兔 ·rui
㛱	bqft· 女田一 ·rui
㨅	ulmj· 扌艹冂人 ·rui
㪫	ghqh· 目攴 ·rui
㮃	exbn· 木禾女 ·rui
㲊	ghqr2· 目殳 ·rui
㹘	qtle· 牜⻗而 ·rui
㻔	nllg· 王千艹士 ·rui
䂱	mhdp· 石丷口儿 ·rui
䅑	xybn· 禾爫女 ·rui
䇤	rfm_· ⺮一冂人 ·rui
䌼	ihdp2· 纟丷口儿 ·rui
䍴	gxbn· ⺶禾女 ·rui
䓲	ljh_· 艹亻丷口儿 ·rui
䞩	pjdk3· 走亼口 ·rui
䦌	agt3· 門土 ·rui
䳠	llgx· 千艹士鳥 ·rui
㝄	ghfs· 子一 ·run
㠈	vanw2· 山門王 ·run
䏕	vtgs· 月㇒士 ·run
䦞	aknw· 門氵王 ·run
㬉	olmd· 日而大 ·ruo
䐞	vbww2· 月弓冫弓冫 ·ruo
萨	lt_· 艹阝厂 ·sa
撒	ulv_· 扌龷⺝攵 ·sa
洒	kvx_· 氵西 ·sa
仨	jts_· 亻三 ·sa
卅	lss_· 卅 ·sa
飒	iob_· 立⺇乂 ·sa
挲	kytu· 氵𡭔丿手 ·sa
脎	vbe_· 月㐅朩 ·sa
潵	klv_· 氵龷⺝攵 ·sa
靸	tcj_· 革及 ·sa
薩	ltil· 艹阝厂生 ·sa
蕯	lthl· 艹阝夂一生 ·sa
訯	scj_· 言及 ·sa
躠	ltkp2· 艹丿㠯辛足 ·sa
灑	kfv_· 氵一一鹿 ·sa
泧	knu2· 氵戉 ·sa
櫒	elhf· 木艹示 ·sa
鈒	zcj_· 金及 ·sa
攃	ulhf· 扌艹示 ·sa
鎝	zljd2· 金艹亼口 ·sa
摋	uber· 扌㐅朩殳 ·sa
鏾	zlvh· 金龷⺝攵 ·sa
钑	zcj2· 钅及 ·sa
隡	tix_· 阝厂生 ·sa
鞈	tjdk2· 革亼口 ·sa
颯	iotc· 立⺇丿虫 ·sa
馺	ncj_· 馬及 ·sa
赛	wqh_· 宀贝 ·sai
塞	wqhg· 宀土 ·sai
腮	vqhx· 月田心 ·sai
鳃	wqhx· 鱼田心 ·sai
噻	dwq_· 口宀土 ·sai
思	qh_· 田心 ·sai
簺	rwq_· ⺮宀土 ·sai
賽	wqho2· 宀貝 ·sai
毸	vqhx3· 毛田心 ·sai
毢	vvx2· 毛西 ·sai
揌	uqh_· 扌田心 ·sai
愢	hqhx2· 忄田心 ·sai
顋	qhw_· 田心頁 ·sai
嘥	dwss· 口彳止龰 ·sai
嗮	dov_· 口日西 ·sai
鰓	wqhx3· 魚田心 ·sai
僿	jwq_· 亻宀土 ·sai
三	ts_· 三 ·san
散	lv_· 龷⺝攵 ·san
伞	jhn_· 人丷十 ·san
馓	qlv_· 饣龷⺝攵 ·san
氵	ks2· 氵 ·san
糁	pkme· 米厶大彡 ·san
叁	kmt_· 厶大三 ·san
彡	ess_· 彡 ·san
毵	kmev· 厶大彡毛 ·san
潵	klv_· 氵龷⺝攵 ·san
繖	ilv_· 糹龷⺝攵 ·san
糤	plvh· 米龷⺝攵 ·san
糣	pddo· 米旡曰 ·san
糝	pkk_· 米厶厶厶人彡 ·san
糂	pzha· 米㇗ ·san
犙	qkk_· 牜厶厶厶人彡 ·san
毿	kkkv· 厶厶厶人彡毛 ·san
毶	vkme· 毛厶大彡 ·san
橵	elvh· 木龷⺝攵 ·san
椮	ekme· 木厶大彡 ·san
鏒	zkk_· 金厶厶厶人彡 ·san
鏾	zlvh· 金龷⺝攵 ·san
閐	avm2· 門毛 ·san
弎	pts_· 弋三 ·san
帴	rpp_· 巾戈戈 ·san
饊	qlvh2· 飠龷⺝攵 ·san
鬖	peke· 镸彡厶厶厶人彡 ·san
叄	kkkt· 厶厶厶人三 ·san
厁	jxjz· 人斗卩 ·san
傪	jkk_· 亻厶厶厶人彡 ·san
傘	jjjn· 人人人人人十 ·san
俕	jwem· 亻宀木 ·san
桑	rrre· 又又又木 ·sang
丧	ght_· 土丷 ·sang
嗓	drr_· 口又又又木 ·sang
搡	urre· 扌又又又木 ·sang
颡	rrrw· 又又又木页 ·sang
磉	mrr_· 石又又又木 ·sang
褬	trre· 衤又又又木 ·sang
槡	erre· 木又又又木 ·sang
桒	nlem2· 十艹木 ·sang
鎟	zrre· 金又又又木 ·sang
顙	rrrw2· 又又又木頁 ·sang
喪	gdd_· 土口口 ·sang
扫	ubj_· 扌彐 ·sao
嫂	bpg_· 女臼丨又 ·sao
骚	nri_· 马又丶虫 ·sao
搔	uri_· 扌又丶虫 ·sao
臊	vdd_· 月口口口木 ·sao
缫	ioqe· 纟巛田木 ·sao
梢	eyv_· 木⺌⺝ ·sao
瘙	ari_· 疒又丶虫 ·sao
埽	gbw_· 土彐冖巾 ·sao
缲	idde· 纟口口口木 ·sao
鳋	wri_· 鱼又丶虫 ·sao
螦	cais· 虫龶糸 ·sao
繰	idde2· 糹口口口木 ·sao
繅	ioqe2· 糹巛田木 ·sao
縿	ikk_· 糹厶厶厶人彡 ·sao
矂	qdde· 目口口口木 ·sao
溞	kric· 氵又丶虫 ·sao
鄵	dddt· 口口口木阝 ·sao
氉	dddv· 口口口木毛 ·sao
掃	ubwr· 扌彐冖巾 ·sao
鐰	zdde· 金口口口木 ·sao
懆	hdde· 忄口口口木 ·sao
慅	hri_· 忄又丶虫 ·sao
颾	otcc3· ⺇丿虫又丶虫 ·sao
騒	nrc_· 馬又虫 ·sao
騷	nric2· 馬又丶虫 ·sao
髞	gdde· 高口口口木 ·sao
鰠	wric2· 魚又丶虫 ·sao
鱢	wdde· 魚口口口木 ·sao
色	xm_· ⺈巴 ·se
瑟	nnht· 王王心丿 ·se
涩	kpi_· 氵刀丶止 ·se
铯	zxm_· 钅⺈巴 ·se
穑	xghd· 禾土丷囗口 ·se
啬	ghrd· 土丷囗口 ·se
塞	wqhg· 宀土 ·se
繬	igjd· 糹土人人囗口 ·se
粣	pic2· 米册 ·se
穯	xgdd· 禾土口口囗口 ·se
穡	xgjd2· 禾土人人囗口 ·se
譅	spis· 言刀丶止刀丶止 ·se
瘷	axhp· 疒束攵 ·se
璱	nnnt· 王王王心丿 ·se
琗	nzjn· 王亠人人十 ·se
瀒	kejd· 氵木人人一囗口 ·se
濇	kgjd· 氵土人人囗口 ·se
澁	ksss· 氵止止止 ·se
澀	kpis2· 氵刀丶止刀丶止 ·se
溹	knwi· 氵十冖糸 ·se
轖	ygjd· 車土人人囗口 ·se
洓	kemk· 氵木冂 ·se
歰	piss· 刀丶止刀丶止 ·se
歮	sssi· 止止止 ·se
鉍	zhtp3· 金心丿 ·se
栜	eemk· 木木冂 ·se
銫	zxmb2· 金⺈巴 ·se
鎍	znwi· 金十冖糸 ·se
擌	urmj· 扌⺮大人人 ·se
鏼	zre_· 金⺮木冂 ·se
拺	uemk· 扌木冂 ·se
懎	hgjd· 忄土人人囗口 ·se
闟	ajdz· 門亼口羽 ·se
雭	tcj3· ⻗及 ·se
廧	xgj_· 广土人人囗口 ·se
飋	otct2· ⺇丿虫王王心丿 ·se
嗇	gjjd· 土人人囗口 ·se
森	eee_· 木木木 ·sen
襂	tkk_· 衤厶厶厶人彡 ·sen
篸	rkke2· ⺮厶厶厶人彡 ·sen
槮	ekk_· 木厶厶厶人彡 ·sen
椮	ekme· 木厶大彡 ·sen
僧	jhr_· 亻丷囗⺌曰 ·seng
鬙	peho· 镸彡丷囗⺌曰 ·seng
啥	dja_· 口人 ·sha
