阿	tz_· 阝可 ·a
笨	ref_· ⺮木一 ·ben
奔	mnl_· 大十廾 ·ben
苯	lef_· 艹木一 ·ben
贲	nlo_· 十艹贝 ·ben
锛	zmn_· 钅大十廾 ·ben
坌	hpg_· 八刀土 ·ben
夯	msl_· 大力 ·ben
畚	kmq_· 厶大田 ·ben
蟦	cnlo2· 虫十艹貝 ·ben
翉	efz_· 木一羽 ·ben
賁	nlob2· 十艹貝 ·ben
獖	mnlo· 犭十艹貝 ·ben
犇	qqq_· 牛牜牛 ·ben
燌	cnlo· 火十艹貝 ·ben
炃	hpch· 八刀火 ·ben
輽	ykmq· 車厶大田 ·ben
渀	kmn_· 氵大十廾 ·ben
逩	mnlu· 大十廾辶 ·ben
泍	kef_· 氵木一 ·ben
楍	eddd2· 木口口口 ·ben
桳	ekmn· 木厶大十 ·ben
錛	zmnl2· 金大十廾 ·ben
撪	ukmy· 扌厶大車 ·ben
捹	umnl· 扌大十廾 ·ben
鐼	znl_· 金十艹貝 ·ben
奙	kmoa2· 厶大日乚 ·ben
喯	dmn_· 口大十廾 ·ben
倴	jmn_· 亻大十廾 ·ben
蹦	pvv_· ⻊山月月 ·beng
崩	vvv_· 山月月 ·beng
甭	cty_· 不用 ·beng
泵	mks_· 石水 ·beng
绷	ivv_· 纟月月 ·beng
迸	hlu_· 䒑廾辶 ·beng
嘣	dvvv· 口山月月 ·beng
蚌	caf_· 虫丰 ·beng
甏	her_· 彡瓦 ·beng
琫	nai_· 王㇏ ·beng
镚	zvvv· 钅山月月 ·beng
菶	laiu· 艹㇏ ·beng
繃	ivvv· 糹山月月 ·beng
綳	ivvy2· 糹月月 ·beng
絣	ihl_· 糹䒑廾 ·beng
祊	flf_· 礻方 ·beng
痭	avvy2· 疒月月 ·beng
琣	nidk· 王立口 ·beng
跰	phl_· ⻊䒑廾 ·beng
逬	tetu· 丿丿干辶 ·beng
錋	zvvy· 金月月 ·beng
揼	umks· 扌石水 ·beng
鏰	zvvv2· 金山月月 ·beng
